issue_id,version,target_time_utc,model,init_time_utc,offset_days,ws10,ws100,wd100,t2m,sp,source
2026-02-23_0000,1,2026-02-22T18:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,2.06,3.72,96.0,3.4,950.2,live
2026-02-23_0000,1,2026-02-22T19:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,1.9,3.24,99.0,2.8,950.0,live
2026-02-23_0000,1,2026-02-22T20:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,1.71,2.84,100.0,2.3,949.7,live
2026-02-23_0000,1,2026-02-22T21:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,1.66,2.45,102.0,1.8,949.5,live
2026-02-23_0000,1,2026-02-22T22:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,1.48,2.09,107.0,1.5,949.3,live
2026-02-23_0000,1,2026-02-22T23:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,1,1.3,1.62,112.0,1.4,949.2,live
2026-02-23_0000,1,2026-02-23T00:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,0.99,1.08,124.0,1.6,949.2,live
2026-02-23_0000,1,2026-02-23T01:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,0.73,0.73,164.0,2.3,949.3,live
2026-02-23_0000,1,2026-02-23T02:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,0.86,0.99,225.0,3.5,949.6,live
2026-02-23_0000,1,2026-02-23T03:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,1.48,1.79,243.0,4.9,949.9,live
2026-02-23_0000,1,2026-02-23T04:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,2.12,2.66,250.0,6.4,950.3,live
2026-02-23_0000,1,2026-02-23T05:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,1,2.79,3.52,255.0,7.5,950.7,live
2026-02-23_0000,1,2026-02-23T06:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,3.28,4.2,258.0,8.2,951.0,live
2026-02-23_0000,1,2026-02-23T07:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,3.57,4.77,260.0,8.3,951.4,live
2026-02-23_0000,1,2026-02-23T08:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,3.75,5.25,262.0,8.1,951.8,live
2026-02-23_0000,1,2026-02-23T09:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,3.95,5.72,265.0,7.7,952.1,live
2026-02-23_0000,1,2026-02-23T10:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,4.03,6.11,266.0,7.1,952.6,live
2026-02-23_0000,1,2026-02-23T11:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,1,4.03,6.51,266.0,6.4,953.0,live
2026-02-23_0000,1,2026-02-23T12:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,4.47,7.03,264.0,5.2,954.1,live
2026-02-23_0000,1,2026-02-23T13:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,4.59,7.36,263.0,4.5,954.4,live
2026-02-23_0000,1,2026-02-23T14:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,4.83,7.6,261.0,3.7,954.7,live
2026-02-23_0000,1,2026-02-23T15:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,5.0,7.84,259.0,2.9,955.0,live
2026-02-23_0000,1,2026-02-23T16:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,5.15,8.0,257.0,2.1,955.2,live
2026-02-23_0000,1,2026-02-23T17:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,2,5.19,8.05,256.0,1.4,955.3,live
2026-02-23_0000,1,2026-02-23T18:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,5.22,8.1,254.0,0.7,955.6,live
2026-02-23_0000,1,2026-02-23T19:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,5.13,8.01,254.0,0.1,955.7,live
2026-02-23_0000,1,2026-02-23T20:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,4.81,7.72,253.0,-0.5,955.8,live
2026-02-23_0000,1,2026-02-23T21:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,4.59,7.4,254.0,-1.1,956.0,live
2026-02-23_0000,1,2026-02-23T22:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,4.27,7.06,254.0,-1.6,956.0,live
2026-02-23_0000,1,2026-02-23T23:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,2,4.05,6.74,255.0,-2.0,956.1,live
2026-02-23_0000,1,2026-02-24T00:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.83,6.43,255.0,-2.1,956.3,live
2026-02-23_0000,1,2026-02-24T01:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.7,6.11,255.0,-2.0,956.5,live
2026-02-23_0000,1,2026-02-24T02:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.7,5.89,255.0,-1.7,956.8,live
2026-02-23_0000,1,2026-02-24T03:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.76,5.6,254.0,-1.3,957.0,live
2026-02-23_0000,1,2026-02-24T04:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.86,5.39,255.0,-0.8,957.4,live
2026-02-23_0000,1,2026-02-24T05:00:00Z,ecmwf_aifs025_single,2026-02-22T00:00:00Z,2,3.83,5.17,255.0,-0.3,957.6,live
2026-02-23_0000,1,2026-02-24T06:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.83,5.07,255.0,-0.1,957.8,live
2026-02-23_0000,1,2026-02-24T07:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.83,5.07,255.0,0.0,957.9,live
2026-02-23_0000,1,2026-02-24T08:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.83,5.29,255.0,0.1,957.9,live
2026-02-23_0000,1,2026-02-24T09:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.86,5.41,254.0,0.1,958.0,live
2026-02-23_0000,1,2026-02-24T10:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.86,5.63,253.0,0.0,958.0,live
2026-02-23_0000,1,2026-02-24T11:00:00Z,ecmwf_aifs025_single,2026-02-22T06:00:00Z,2,3.67,5.63,253.0,-0.1,958.0,live
2026-02-23_0000,1,2026-02-24T12:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,3.73,5.88,252.0,0.1,957.5,live
2026-02-23_0000,1,2026-02-24T13:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,3.42,5.47,252.0,-0.2,957.4,live
2026-02-23_0000,1,2026-02-24T14:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,3.01,4.74,252.0,-0.5,957.3,live
2026-02-23_0000,1,2026-02-24T15:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,2.47,3.98,252.0,-0.9,957.2,live
2026-02-23_0000,1,2026-02-24T16:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,1.93,3.13,253.0,-1.3,957.1,live
2026-02-23_0000,1,2026-02-24T17:00:00Z,ecmwf_aifs025_single,2026-02-21T12:00:00Z,3,1.39,2.28,255.0,-1.7,956.9,live
2026-02-23_0000,1,2026-02-24T18:00:00Z,ecmwf_aifs025_single,2026-02-21T18:00:00Z,3,0.95,1.55,255.0,-1.9,956.9,live
2026-02-23_0000,1,2026-02-22T18:00:00Z,ecmwf_ifs025,2026-02-21T18:00:00Z,1,1.75,5.0,74.0,1.2,949.8,live
2026-02-23_0000,1,2026-02-22T19:00:00Z,ecmwf_ifs025,2026-02-21T18:00:00Z,1,1.65,4.78,74.0,0.8,949.3,live
