issue_id,version,target_time_utc,model,init_time_utc,offset_days,ws10,ws100,wd100,t2m,sp,source
2026-02-02_0000,1,2026-02-01T18:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,2.9,5.62,85.0,-2.0,954.1,live
2026-02-02_0000,1,2026-02-01T19:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,3.0,5.82,85.0,-2.7,954.0,live
2026-02-02_0000,1,2026-02-01T20:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,3.0,6.12,85.0,-3.4,953.9,live
2026-02-02_0000,1,2026-02-01T21:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,3.1,6.32,85.0,-4.0,953.9,live
2026-02-02_0000,1,2026-02-01T22:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,3.2,6.62,86.0,-4.4,953.9,live
2026-02-02_0000,1,2026-02-01T23:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,1,3.4,6.92,86.0,-4.4,953.9,live
2026-02-02_0000,1,2026-02-02T00:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,3.6,7.13,85.0,-4.1,954.0,live
2026-02-02_0000,1,2026-02-02T01:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,3.91,7.33,85.0,-3.0,954.3,live
2026-02-02_0000,1,2026-02-02T02:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,4.43,7.55,83.0,-1.4,954.7,live
2026-02-02_0000,1,2026-02-02T03:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,4.95,7.86,83.0,0.6,955.2,live
2026-02-02_0000,1,2026-02-02T04:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,5.47,7.99,81.0,2.6,955.6,live
2026-02-02_0000,1,2026-02-02T05:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,1,5.9,8.2,81.0,4.3,955.9,live
2026-02-02_0000,1,2026-02-02T06:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,6.12,8.32,80.0,5.4,956.1,live
2026-02-02_0000,1,2026-02-02T07:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,6.12,8.42,80.0,5.8,956.1,live
2026-02-02_0000,1,2026-02-02T08:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,5.9,8.42,80.0,5.7,955.9,live
2026-02-02_0000,1,2026-02-02T09:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,5.49,8.4,81.0,5.3,955.6,live
2026-02-02_0000,1,2026-02-02T10:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,5.18,8.29,82.0,4.8,955.2,live
2026-02-02_0000,1,2026-02-02T11:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,1,4.75,8.27,82.0,4.1,954.9,live
2026-02-02_0000,1,2026-02-02T12:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,3.73,6.75,83.0,4.0,953.6,live
2026-02-02_0000,1,2026-02-02T13:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,3.42,6.44,84.0,3.3,953.3,live
2026-02-02_0000,1,2026-02-02T14:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,3.21,6.13,84.0,2.5,953.0,live
2026-02-02_0000,1,2026-02-02T15:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,3.0,5.83,84.0,1.6,952.6,live
2026-02-02_0000,1,2026-02-02T16:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,2.8,5.42,85.0,0.7,952.2,live
2026-02-02_0000,1,2026-02-02T17:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,2,2.7,5.12,86.0,-0.1,951.9,live
2026-02-02_0000,1,2026-02-02T18:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.51,4.92,85.0,-0.8,951.7,live
2026-02-02_0000,1,2026-02-02T19:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.41,4.72,85.0,-1.3,951.4,live
2026-02-02_0000,1,2026-02-02T20:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.32,4.72,85.0,-1.9,951.2,live
2026-02-02_0000,1,2026-02-02T21:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.32,4.62,85.0,-2.4,951.0,live
2026-02-02_0000,1,2026-02-02T22:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.22,4.53,84.0,-2.7,950.8,live
2026-02-02_0000,1,2026-02-02T23:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,2,2.21,4.43,84.0,-2.7,950.8,live
2026-02-02_0000,1,2026-02-03T00:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,2.01,4.13,83.0,-2.5,950.9,live
2026-02-02_0000,1,2026-02-03T01:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,1.8,3.73,82.0,-1.7,951.1,live
2026-02-02_0000,1,2026-02-03T02:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,1.5,3.24,81.0,-0.5,951.4,live
2026-02-02_0000,1,2026-02-03T03:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,1.3,2.75,80.0,0.9,951.9,live
2026-02-02_0000,1,2026-02-03T04:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,0.92,2.16,77.0,2.4,952.3,live
2026-02-02_0000,1,2026-02-03T05:00:00Z,ecmwf_aifs025_single,2026-02-01T00:00:00Z,2,0.63,1.46,74.0,3.6,952.8,live
2026-02-02_0000,1,2026-02-03T06:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,0.28,0.76,67.0,4.5,953.2,live
2026-02-02_0000,1,2026-02-03T07:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,0.32,0.22,297.0,4.8,953.4,live
2026-02-02_0000,1,2026-02-03T08:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,0.82,1.32,261.0,4.9,953.8,live
2026-02-02_0000,1,2026-02-03T09:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,1.49,2.55,259.0,4.8,954.0,live
2026-02-02_0000,1,2026-02-03T10:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,2.15,3.69,257.0,4.5,954.2,live
2026-02-02_0000,1,2026-02-03T11:00:00Z,ecmwf_aifs025_single,2026-02-01T06:00:00Z,2,2.6,4.63,256.0,4.3,954.5,live
2026-02-02_0000,1,2026-02-03T12:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,2.82,5.04,256.0,4.0,954.4,live
2026-02-02_0000,1,2026-02-03T13:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,2.77,5.04,256.0,3.7,954.5,live
2026-02-02_0000,1,2026-02-03T14:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,2.59,4.75,255.0,3.4,954.7,live
2026-02-02_0000,1,2026-02-03T15:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,2.33,4.27,254.0,3.0,954.9,live
2026-02-02_0000,1,2026-02-03T16:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,1.94,3.67,253.0,2.6,955.1,live
2026-02-02_0000,1,2026-02-03T17:00:00Z,ecmwf_aifs025_single,2026-01-31T12:00:00Z,3,1.7,3.26,252.0,2.2,955.3,live
2026-02-02_0000,1,2026-02-03T18:00:00Z,ecmwf_aifs025_single,2026-01-31T18:00:00Z,3,1.56,2.97,250.0,2.0,955.5,live
2026-02-02_0000,1,2026-02-01T18:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,4.05,8.51,77.0,-0.4,954.7,live
2026-02-02_0000,1,2026-02-01T19:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,4.4,8.97,76.0,-0.4,954.7,live
2026-02-02_0000,1,2026-02-01T20:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,4.87,9.66,74.0,-0.4,954.8,live
2026-02-02_0000,1,2026-02-01T21:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,5.31,10.25,73.0,-0.5,954.9,live
2026-02-02_0000,1,2026-02-01T22:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,5.54,10.59,72.0,-0.8,954.9,live
2026-02-02_0000,1,2026-02-01T23:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,1,5.76,10.82,72.0,-1.2,954.9,live
2026-02-02_0000,1,2026-02-02T00:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,5.85,11.04,72.0,-1.4,955.0,live
2026-02-02_0000,1,2026-02-02T01:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,6.04,11.26,72.0,-1.5,955.2,live
2026-02-02_0000,1,2026-02-02T02:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,6.17,11.45,72.0,-1.4,955.5,live
2026-02-02_0000,1,2026-02-02T03:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,6.39,11.48,72.0,-0.8,955.8,live
2026-02-02_0000,1,2026-02-02T04:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,6.69,11.39,70.0,0.7,955.9,live
2026-02-02_0000,1,2026-02-02T05:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,1,6.98,11.25,68.0,2.9,956.1,live
2026-02-02_0000,1,2026-02-02T06:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,7.29,11.19,66.0,4.6,956.0,live
2026-02-02_0000,1,2026-02-02T07:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,7.47,11.06,66.0,5.9,955.6,live
2026-02-02_0000,1,2026-02-02T08:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,7.61,10.98,67.0,6.8,954.9,live
2026-02-02_0000,1,2026-02-02T09:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,7.56,10.94,67.0,7.0,954.3,live
2026-02-02_0000,1,2026-02-02T10:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,7.29,11.16,67.0,6.3,954.0,live
2026-02-02_0000,1,2026-02-02T11:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,1,6.71,11.42,67.0,4.9,953.7,live
2026-02-02_0000,1,2026-02-02T12:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,5.82,10.98,70.0,3.3,953.6,live
2026-02-02_0000,1,2026-02-02T13:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,5.2,10.38,69.0,2.5,953.5,live
2026-02-02_0000,1,2026-02-02T14:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,4.62,9.51,68.0,2.0,953.4,live
2026-02-02_0000,1,2026-02-02T15:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,4.02,8.65,68.0,1.5,953.3,live
2026-02-02_0000,1,2026-02-02T16:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,3.37,7.59,72.0,0.6,953.2,live
2026-02-02_0000,1,2026-02-02T17:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,2,2.8,6.63,79.0,-0.2,953.0,live
2026-02-02_0000,1,2026-02-02T18:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,2.6,6.24,84.0,-0.7,952.8,live
2026-02-02_0000,1,2026-02-02T19:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,2.92,6.71,80.0,-0.5,952.5,live
2026-02-02_0000,1,2026-02-02T20:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,3.57,7.6,74.0,0.2,952.2,live
2026-02-02_0000,1,2026-02-02T21:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,4.12,8.42,70.0,0.7,951.9,live
2026-02-02_0000,1,2026-02-02T22:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,4.25,8.71,68.0,0.6,951.8,live
2026-02-02_0000,1,2026-02-02T23:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,2,4.31,8.8,69.0,0.4,951.9,live
2026-02-02_0000,1,2026-02-03T00:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,4.14,8.54,69.0,0.2,952.1,live
2026-02-02_0000,1,2026-02-03T01:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,3.91,8.19,72.0,-0.0,952.5,live
2026-02-02_0000,1,2026-02-03T02:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,3.71,7.62,76.0,-0.2,953.0,live
2026-02-02_0000,1,2026-02-03T03:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,3.2,6.51,79.0,0.2,953.5,live
2026-02-02_0000,1,2026-02-03T04:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,2.1,4.47,80.0,1.6,953.9,live
2026-02-02_0000,1,2026-02-03T05:00:00Z,ecmwf_ifs025,2026-02-01T00:00:00Z,2,0.8,1.84,77.0,3.5,954.4,live
2026-02-02_0000,1,2026-02-03T06:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,0.32,0.22,297.0,5.2,954.6,live
2026-02-02_0000,1,2026-02-03T07:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,0.71,0.82,256.0,6.4,954.3,live
2026-02-02_0000,1,2026-02-03T08:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,0.76,0.86,234.0,7.3,953.8,live
2026-02-02_0000,1,2026-02-03T09:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,1.03,1.3,238.0,7.4,953.6,live
2026-02-02_0000,1,2026-02-03T10:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,1.49,2.79,255.0,5.9,953.8,live
2026-02-02_0000,1,2026-02-03T11:00:00Z,ecmwf_ifs025,2026-02-01T06:00:00Z,2,2.06,4.75,262.0,3.6,954.2,live
2026-02-02_0000,1,2026-02-03T12:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,3.62,7.52,247.0,2.6,956.1,live
2026-02-02_0000,1,2026-02-03T13:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,3.31,7.38,243.0,2.1,956.4,live
2026-02-02_0000,1,2026-02-03T14:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,2.66,6.28,239.0,1.8,956.7,live
2026-02-02_0000,1,2026-02-03T15:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,2.14,5.58,237.0,1.6,956.8,live
2026-02-02_0000,1,2026-02-03T16:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,2.02,5.5,243.0,1.4,956.7,live
2026-02-02_0000,1,2026-02-03T17:00:00Z,ecmwf_ifs025,2026-01-31T12:00:00Z,3,2.15,5.82,251.0,1.2,956.3,live
2026-02-02_0000,1,2026-02-03T18:00:00Z,ecmwf_ifs025,2026-01-31T18:00:00Z,3,2.4,6.21,255.0,1.1,956.2,live
2026-02-02_0000,1,2026-02-01T18:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,3.85,9.97,63.0,0.3,957.3,live
2026-02-02_0000,1,2026-02-01T19:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,4.39,10.42,62.0,-0.0,957.1,live
2026-02-02_0000,1,2026-02-01T20:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,4.57,11.05,63.0,-0.2,956.8,live
2026-02-02_0000,1,2026-02-01T21:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,4.99,11.36,62.0,-0.4,956.8,live
2026-02-02_0000,1,2026-02-01T22:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,5.25,11.72,64.0,-0.5,956.8,live
2026-02-02_0000,1,2026-02-01T23:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,1,5.46,12.03,65.0,-0.6,956.7,live
2026-02-02_0000,1,2026-02-02T00:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,5.59,12.43,63.0,-0.6,956.8,live
2026-02-02_0000,1,2026-02-02T01:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,5.69,12.71,62.0,-0.7,956.7,live
2026-02-02_0000,1,2026-02-02T02:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,5.63,12.89,61.0,-1.1,956.7,live
2026-02-02_0000,1,2026-02-02T03:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,5.92,13.78,65.0,0.1,956.6,live
2026-02-02_0000,1,2026-02-02T04:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,6.31,13.43,61.0,2.1,956.6,live
2026-02-02_0000,1,2026-02-02T05:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,1,7.91,14.32,62.0,4.1,956.5,live
2026-02-02_0000,1,2026-02-02T06:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,7.84,13.87,64.0,6.4,957.3,live
2026-02-02_0000,1,2026-02-02T07:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,8.72,14.59,66.0,7.5,956.4,live
2026-02-02_0000,1,2026-02-02T08:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,8.68,14.79,67.0,8.0,955.7,live
2026-02-02_0000,1,2026-02-02T09:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,8.68,14.52,67.0,7.9,955.6,live
2026-02-02_0000,1,2026-02-02T10:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,7.98,13.15,68.0,7.0,955.8,live
2026-02-02_0000,1,2026-02-02T11:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,1,6.32,11.29,67.0,5.1,956.2,live
2026-02-02_0000,1,2026-02-02T12:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,3.64,10.16,61.0,2.4,955.3,live
2026-02-02_0000,1,2026-02-02T13:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,2.01,8.01,62.0,1.2,955.9,live
2026-02-02_0000,1,2026-02-02T14:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,2.28,6.84,65.0,1.0,956.1,live
2026-02-02_0000,1,2026-02-02T15:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,2.56,6.99,66.0,1.1,956.0,live
2026-02-02_0000,1,2026-02-02T16:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,2.88,6.99,66.0,1.3,955.8,live
2026-02-02_0000,1,2026-02-02T17:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,2,3.1,7.3,67.0,1.3,955.5,live
2026-02-02_0000,1,2026-02-02T18:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,2.82,6.32,67.0,1.8,956.2,live
2026-02-02_0000,1,2026-02-02T19:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,3.32,7.67,68.0,1.9,955.8,live
2026-02-02_0000,1,2026-02-02T20:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,3.67,9.44,66.0,2.0,955.3,live
2026-02-02_0000,1,2026-02-02T21:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,4.11,11.0,64.0,1.8,955.1,live
2026-02-02_0000,1,2026-02-02T22:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,3.67,10.8,59.0,1.2,954.7,live
2026-02-02_0000,1,2026-02-02T23:00:00Z,gfs_seamless,2026-01-31T18:00:00Z,2,4.48,11.64,66.0,0.8,954.4,live
2026-02-02_0000,1,2026-02-03T00:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,4.74,11.68,61.0,0.3,953.9,live
2026-02-02_0000,1,2026-02-03T01:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,4.64,11.46,61.0,-0.4,954.0,live
2026-02-02_0000,1,2026-02-03T02:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,4.19,10.61,61.0,-0.9,954.3,live
2026-02-02_0000,1,2026-02-03T03:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,3.4,9.32,60.0,-0.2,954.8,live
2026-02-02_0000,1,2026-02-03T04:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,3.61,7.96,65.0,1.6,955.0,live
2026-02-02_0000,1,2026-02-03T05:00:00Z,gfs_seamless,2026-02-01T00:00:00Z,2,3.83,7.38,65.0,3.5,955.2,live
2026-02-02_0000,1,2026-02-03T06:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,4.66,8.32,72.0,5.5,955.6,live
2026-02-02_0000,1,2026-02-03T07:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,4.08,7.62,71.0,7.0,955.0,live
2026-02-02_0000,1,2026-02-03T08:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,3.42,6.71,73.0,7.6,954.5,live
2026-02-02_0000,1,2026-02-03T09:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,2.58,5.97,76.0,7.8,954.4,live
2026-02-02_0000,1,2026-02-03T10:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,1.53,4.98,80.0,7.7,954.6,live
2026-02-02_0000,1,2026-02-03T11:00:00Z,gfs_seamless,2026-02-01T06:00:00Z,2,1.35,4.56,75.0,6.2,954.6,live
2026-02-02_0000,1,2026-02-03T12:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,2.9,3.57,259.0,3.4,955.1,live
2026-02-02_0000,1,2026-02-03T13:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,3.05,4.18,249.0,3.0,955.6,live
2026-02-02_0000,1,2026-02-03T14:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,3.11,5.29,248.0,3.1,955.8,live
2026-02-02_0000,1,2026-02-03T15:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,3.06,5.85,253.0,3.2,956.0,live
2026-02-02_0000,1,2026-02-03T16:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,3.5,5.76,253.0,2.8,956.2,live
2026-02-02_0000,1,2026-02-03T17:00:00Z,gfs_seamless,2026-01-31T12:00:00Z,3,3.89,5.74,247.0,2.8,956.3,live
