site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06 00:00,2026-02-05 23:00,0,intraday,farm,0.6758,0.2783,0.7856,0.9181,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T19:00:00Z,2026-02-06 01:00,2026-02-06 00:00,1,intraday,farm,0.6558,0.1975,0.7312,0.9151,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T20:00:00Z,2026-02-06 02:00,2026-02-06 01:00,2,intraday,farm,0.5989,0.148,0.559,0.9018,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T21:00:00Z,2026-02-06 03:00,2026-02-06 02:00,3,intraday,farm,0.483,0.0867,0.3743,0.8529,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T22:00:00Z,2026-02-06 04:00,2026-02-06 03:00,4,intraday,farm,0.3795,0.0432,0.2684,0.7739,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-05T23:00:00Z,2026-02-06 05:00,2026-02-06 04:00,5,intraday,farm,0.2315,0.0038,0.1398,0.5798,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T00:00:00Z,2026-02-06 06:00,2026-02-06 05:00,6,intraday,farm,0.1093,0.0073,0.0556,0.3506,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T01:00:00Z,2026-02-06 07:00,2026-02-06 06:00,7,intraday,farm,0.0425,0.0084,0.0239,0.1033,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T02:00:00Z,2026-02-06 08:00,2026-02-06 07:00,8,intraday,farm,0.0983,0.0088,0.0182,0.2415,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T03:00:00Z,2026-02-06 09:00,2026-02-06 08:00,9,intraday,farm,0.0971,0.0055,0.0766,0.2457,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T04:00:00Z,2026-02-06 10:00,2026-02-06 09:00,10,intraday,farm,0.1577,0.0029,0.1256,0.3805,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T05:00:00Z,2026-02-06 11:00,2026-02-06 10:00,11,intraday,farm,0.3317,0.0451,0.2436,0.7184,
shelek,2026-02-06_0000,1,2026-02-05T18:00:00Z,2026-02-05T18:00:00Z,2026-02-06T06:00:00Z,2026-02-06 12:00,2026-02-06 11:00,12,intraday,farm,0.5743,0.1758,0.6198,0.9054,
