site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05 00:00,2026-02-04 23:00,0,intraday,farm,0.9212,0.6071,0.9527,0.9946,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T19:00:00Z,2026-02-05 01:00,2026-02-05 00:00,1,intraday,farm,0.9771,0.8463,0.9441,0.9914,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T20:00:00Z,2026-02-05 02:00,2026-02-05 01:00,2,intraday,farm,0.9611,0.9559,0.9712,0.9854,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T21:00:00Z,2026-02-05 03:00,2026-02-05 02:00,3,intraday,farm,0.9698,0.9698,0.9807,0.9844,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T22:00:00Z,2026-02-05 04:00,2026-02-05 03:00,4,intraday,farm,0.9755,0.9691,0.979,0.9844,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-04T23:00:00Z,2026-02-05 05:00,2026-02-05 04:00,5,intraday,farm,0.9754,0.9669,0.9781,0.9852,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05T00:00:00Z,2026-02-05 06:00,2026-02-05 05:00,6,intraday,farm,0.9752,0.9597,0.9819,0.9852,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05T01:00:00Z,2026-02-05 07:00,2026-02-05 06:00,7,intraday,farm,0.9743,0.9572,0.9818,0.9859,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05T02:00:00Z,2026-02-05 08:00,2026-02-05 07:00,8,intraday,farm,0.9673,0.9589,0.9808,0.9852,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05T03:00:00Z,2026-02-05 09:00,2026-02-05 08:00,9,intraday,farm,0.9688,0.9453,0.9812,0.9847,
shelek,2026-02-05_0000,1,2026-02-04T18:00:00Z,2026-02-04T18:00:00Z,2026-02-05T04:00:00Z,2026-02-05 10:00,2026-02-05 09:00,10,intraday,farm,0.9691,0.9471,0.9814,0.9832,
