site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27 00:00,2026-02-26 23:00,0,intraday,farm,0.6909,0.2666,0.7228,0.927,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T19:00:00Z,2026-02-27 01:00,2026-02-27 00:00,1,intraday,farm,0.6594,0.2845,0.6632,0.9292,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T20:00:00Z,2026-02-27 02:00,2026-02-27 01:00,2,intraday,farm,0.6242,0.1879,0.5963,0.9144,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T21:00:00Z,2026-02-27 03:00,2026-02-27 02:00,3,intraday,farm,0.6129,0.1682,0.6437,0.9425,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T22:00:00Z,2026-02-27 04:00,2026-02-27 03:00,4,intraday,farm,0.5576,0.1082,0.5507,0.9087,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-26T23:00:00Z,2026-02-27 05:00,2026-02-27 04:00,5,intraday,farm,0.4486,0.0456,0.3838,0.8437,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T00:00:00Z,2026-02-27 06:00,2026-02-27 05:00,6,intraday,farm,0.3026,0.0324,0.2604,0.7572,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T01:00:00Z,2026-02-27 07:00,2026-02-27 06:00,7,intraday,farm,0.2719,0.0306,0.2291,0.7529,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T02:00:00Z,2026-02-27 08:00,2026-02-27 07:00,8,intraday,farm,0.2506,0.0127,0.2194,0.7465,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T03:00:00Z,2026-02-27 09:00,2026-02-27 08:00,9,intraday,farm,0.2169,0.0044,0.2039,0.7188,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T04:00:00Z,2026-02-27 10:00,2026-02-27 09:00,10,intraday,farm,0.1721,0.001,0.1572,0.6928,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T05:00:00Z,2026-02-27 11:00,2026-02-27 10:00,11,intraday,farm,0.1616,0.0033,0.1498,0.5641,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T06:00:00Z,2026-02-27 12:00,2026-02-27 11:00,12,intraday,farm,0.1948,0.0074,0.1586,0.5623,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T07:00:00Z,2026-02-27 13:00,2026-02-27 12:00,13,intraday,farm,0.3145,0.0089,0.2756,0.7457,
shelek,2026-02-27_0000,1,2026-02-26T18:00:00Z,2026-02-26T18:00:00Z,2026-02-27T08:00:00Z,2026-02-27 14:00,2026-02-27 13:00,14,intraday,farm,0.3712,0.0382,0.312,0.823,
