site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20 00:00,2026-02-19 23:00,0,intraday,farm,0.2882,0.0,0.2737,0.7816,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T19:00:00Z,2026-02-20 01:00,2026-02-20 00:00,1,intraday,farm,0.3745,0.0,0.2974,0.8105,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T20:00:00Z,2026-02-20 02:00,2026-02-20 01:00,2,intraday,farm,0.3998,0.0181,0.344,0.8791,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T21:00:00Z,2026-02-20 03:00,2026-02-20 02:00,3,intraday,farm,0.4268,0.0266,0.3678,0.8986,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T22:00:00Z,2026-02-20 04:00,2026-02-20 03:00,4,intraday,farm,0.4372,0.0407,0.3637,0.8806,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-19T23:00:00Z,2026-02-20 05:00,2026-02-20 04:00,5,intraday,farm,0.5551,0.0676,0.4552,0.9373,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T00:00:00Z,2026-02-20 06:00,2026-02-20 05:00,6,intraday,farm,0.6101,0.0905,0.5921,0.9125,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T01:00:00Z,2026-02-20 07:00,2026-02-20 06:00,7,intraday,farm,0.6123,0.1275,0.6218,0.9271,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T02:00:00Z,2026-02-20 08:00,2026-02-20 07:00,8,intraday,farm,0.5592,0.1224,0.6037,0.9388,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T03:00:00Z,2026-02-20 09:00,2026-02-20 08:00,9,intraday,farm,0.503,0.0829,0.4782,0.9192,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T04:00:00Z,2026-02-20 10:00,2026-02-20 09:00,10,intraday,farm,0.3305,0.0515,0.2753,0.7993,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T05:00:00Z,2026-02-20 11:00,2026-02-20 10:00,11,intraday,farm,0.3598,0.0314,0.2494,0.747,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T06:00:00Z,2026-02-20 12:00,2026-02-20 11:00,12,intraday,farm,0.3084,0.0116,0.2227,0.6428,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T07:00:00Z,2026-02-20 13:00,2026-02-20 12:00,13,intraday,farm,0.2261,0.0122,0.1579,0.4891,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T08:00:00Z,2026-02-20 14:00,2026-02-20 13:00,14,intraday,farm,0.1698,0.0016,0.0996,0.4396,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T09:00:00Z,2026-02-20 15:00,2026-02-20 14:00,15,intraday,farm,0.1255,0.0054,0.0799,0.3189,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T10:00:00Z,2026-02-20 16:00,2026-02-20 15:00,16,intraday,farm,0.1035,0.0066,0.0665,0.2642,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T11:00:00Z,2026-02-20 17:00,2026-02-20 16:00,17,intraday,farm,0.1225,0.0068,0.0614,0.3428,
shelek,2026-02-20_0000,1,2026-02-19T18:00:00Z,2026-02-19T18:00:00Z,2026-02-20T12:00:00Z,2026-02-20 18:00,2026-02-20 17:00,18,intraday,farm,0.1359,0.0053,0.0993,0.3789,
