site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-18 00:00,2026-02-17 23:00,0,intraday,farm,0.8048,0.5183,0.8541,0.9757,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T19:00:00Z,2026-02-18 01:00,2026-02-18 00:00,1,intraday,farm,0.7925,0.4891,0.8398,0.9766,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T20:00:00Z,2026-02-18 02:00,2026-02-18 01:00,2,intraday,farm,0.8186,0.4962,0.8553,0.9788,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T21:00:00Z,2026-02-18 03:00,2026-02-18 02:00,3,intraday,farm,0.8077,0.5148,0.8469,0.9739,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T22:00:00Z,2026-02-18 04:00,2026-02-18 03:00,4,intraday,farm,0.8042,0.505,0.845,0.9721,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-17T23:00:00Z,2026-02-18 05:00,2026-02-18 04:00,5,intraday,farm,0.8256,0.614,0.8724,0.9731,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-18T00:00:00Z,2026-02-18 06:00,2026-02-18 05:00,6,intraday,farm,0.8303,0.5022,0.8841,0.9862,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-18T01:00:00Z,2026-02-18 07:00,2026-02-18 06:00,7,intraday,farm,0.8164,0.4823,0.8922,0.9866,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-18T02:00:00Z,2026-02-18 08:00,2026-02-18 07:00,8,intraday,farm,0.8509,0.5936,0.9344,0.9862,
shelek,2026-02-18_0000,1,2026-02-17T18:00:00Z,2026-02-17T18:00:00Z,2026-02-18T03:00:00Z,2026-02-18 09:00,2026-02-18 08:00,9,intraday,farm,0.8831,0.6715,0.9108,0.9877,
