site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-03 00:00,2026-02-02 23:00,0,intraday,farm,0.2516,0.0149,0.1783,0.5084,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T19:00:00Z,2026-02-03 01:00,2026-02-03 00:00,1,intraday,farm,0.3086,0.1221,0.2524,0.7293,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T20:00:00Z,2026-02-03 02:00,2026-02-03 01:00,2,intraday,farm,0.4175,0.2112,0.439,0.8731,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T21:00:00Z,2026-02-03 03:00,2026-02-03 02:00,3,intraday,farm,0.4521,0.1685,0.4793,0.9221,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T22:00:00Z,2026-02-03 04:00,2026-02-03 03:00,4,intraday,farm,0.5698,0.2691,0.5868,0.9349,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-02T23:00:00Z,2026-02-03 05:00,2026-02-03 04:00,5,intraday,farm,0.464,0.2528,0.4621,0.9212,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-03T00:00:00Z,2026-02-03 06:00,2026-02-03 05:00,6,intraday,farm,0.3676,0.111,0.341,0.834,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-03T01:00:00Z,2026-02-03 07:00,2026-02-03 06:00,7,intraday,farm,0.2578,0.03,0.1727,0.7016,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-03T02:00:00Z,2026-02-03 08:00,2026-02-03 07:00,8,intraday,farm,0.1875,0.0036,0.1164,0.5587,
shelek,2026-02-03_0000,1,2026-02-02T18:00:00Z,2026-02-02T18:00:00Z,2026-02-03T03:00:00Z,2026-02-03 09:00,2026-02-03 08:00,9,intraday,farm,0.0283,0.0072,0.0425,0.1733,
