issue_id,version,target_time_utc,model,init_time_utc,offset_days,ws10,ws100,wd100,t2m,sp,source
2026-01-31_0000,1,2026-01-30T18:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,2.8,5.22,86.0,-3.4,953.7,live
2026-01-31_0000,1,2026-01-30T19:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,2.8,5.22,86.0,-3.9,953.6,live
2026-01-31_0000,1,2026-01-30T20:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,2.8,5.51,86.0,-4.5,953.4,live
2026-01-31_0000,1,2026-01-30T21:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,3.0,5.81,86.0,-5.0,953.2,live
2026-01-31_0000,1,2026-01-30T22:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,3.2,6.31,86.0,-5.3,953.0,live
2026-01-31_0000,1,2026-01-30T23:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,1,3.4,6.62,86.0,-5.4,952.9,live
2026-01-31_0000,1,2026-01-31T00:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,3.6,6.92,86.0,-5.0,952.9,live
2026-01-31_0000,1,2026-01-31T01:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,3.9,7.12,86.0,-4.1,953.0,live
2026-01-31_0000,1,2026-01-31T02:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,4.3,7.22,85.0,-2.6,953.2,live
2026-01-31_0000,1,2026-01-31T03:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,4.71,7.42,85.0,-0.8,953.5,live
2026-01-31_0000,1,2026-01-31T04:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,5.12,7.42,85.0,1.0,953.8,live
2026-01-31_0000,1,2026-01-31T05:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,1,5.42,7.43,85.0,2.6,954.0,live
2026-01-31_0000,1,2026-01-31T06:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,5.53,7.43,85.0,3.6,953.9,live
2026-01-31_0000,1,2026-01-31T07:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,5.43,7.33,85.0,4.0,953.6,live
2026-01-31_0000,1,2026-01-31T08:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,5.25,7.34,84.0,4.1,953.3,live
2026-01-31_0000,1,2026-01-31T09:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,4.85,7.26,83.0,3.9,952.8,live
2026-01-31_0000,1,2026-01-31T10:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,4.44,6.96,83.0,3.5,952.2,live
2026-01-31_0000,1,2026-01-31T11:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,1,3.95,6.56,82.0,3.1,951.8,live
2026-01-31_0000,1,2026-01-31T12:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,3.11,5.53,84.0,2.3,951.8,live
2026-01-31_0000,1,2026-01-31T13:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,2.51,4.63,84.0,1.8,951.8,live
2026-01-31_0000,1,2026-01-31T14:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,1.8,3.42,83.0,1.1,951.9,live
2026-01-31_0000,1,2026-01-31T15:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,1.14,2.11,85.0,0.3,952.1,live
2026-01-31_0000,1,2026-01-31T16:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,0.71,0.8,90.0,-0.4,952.4,live
2026-01-31_0000,1,2026-01-31T17:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,2,0.71,0.22,243.0,-1.1,952.6,live
2026-01-31_0000,1,2026-01-31T18:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.89,0.82,256.0,-1.6,952.8,live
2026-01-31_0000,1,2026-01-31T19:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.94,0.92,257.0,-2.1,952.8,live
2026-01-31_0000,1,2026-01-31T20:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.89,0.61,261.0,-2.7,952.8,live
2026-01-31_0000,1,2026-01-31T21:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.71,0.0,270.0,-3.1,952.8,live
2026-01-31_0000,1,2026-01-31T22:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.63,0.73,74.0,-3.4,952.8,live
2026-01-31_0000,1,2026-01-31T23:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,2,0.72,1.33,77.0,-3.5,952.8,live
2026-01-31_0000,1,2026-02-01T00:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,0.95,1.94,78.0,-3.1,953.0,live
2026-01-31_0000,1,2026-02-01T01:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,1.3,2.45,78.0,-2.2,953.3,live
2026-01-31_0000,1,2026-02-01T02:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,1.7,2.96,78.0,-0.7,953.7,live
2026-01-31_0000,1,2026-02-01T03:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,2.21,3.47,78.0,1.0,954.2,live
2026-01-31_0000,1,2026-02-01T04:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,2.73,3.96,80.0,2.8,954.7,live
2026-01-31_0000,1,2026-02-01T05:00:00Z,ecmwf_aifs025_single,2026-01-30T00:00:00Z,2,3.16,4.37,79.0,4.2,955.2,live
2026-01-31_0000,1,2026-02-01T06:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,3.37,4.67,80.0,5.2,955.4,live
2026-01-31_0000,1,2026-02-01T07:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,3.47,4.87,81.0,5.5,955.4,live
2026-01-31_0000,1,2026-02-01T08:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,3.37,4.85,82.0,5.5,955.3,live
2026-01-31_0000,1,2026-02-01T09:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,3.26,4.85,82.0,5.3,955.0,live
2026-01-31_0000,1,2026-02-01T10:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,3.06,4.84,83.0,4.8,954.7,live
2026-01-31_0000,1,2026-02-01T11:00:00Z,ecmwf_aifs025_single,2026-01-30T06:00:00Z,2,2.84,4.83,84.0,4.2,954.4,live
2026-01-31_0000,1,2026-02-01T12:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.82,5.02,84.0,3.8,953.3,live
2026-01-31_0000,1,2026-02-01T13:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.71,4.93,84.0,3.1,953.1,live
2026-01-31_0000,1,2026-02-01T14:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.5,4.72,85.0,2.3,953.0,live
2026-01-31_0000,1,2026-02-01T15:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.4,4.42,85.0,1.4,952.8,live
2026-01-31_0000,1,2026-02-01T16:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.2,4.11,86.0,0.5,952.8,live
2026-01-31_0000,1,2026-02-01T17:00:00Z,ecmwf_aifs025_single,2026-01-29T12:00:00Z,3,2.11,3.91,86.0,-0.4,952.7,live
2026-01-31_0000,1,2026-02-01T18:00:00Z,ecmwf_aifs025_single,2026-01-29T18:00:00Z,3,2.11,3.91,86.0,-1.1,952.6,live
2026-01-31_0000,1,2026-01-30T18:00:00Z,ecmwf_ifs025,2026-01-29T18:00:00Z,1,6.94,12.41,67.0,-0.9,954.2,live
2026-01-31_0000,1,2026-01-30T19:00:00Z,ecmwf_ifs025,2026-01-29T18:00:00Z,1,7.07,12.58,66.0,-1.0,954.2,live
