site,issue_id,version,issue_time_utc,version_as_of_utc,target_time_utc,target_time_data_clock,target_time_kz_official,lead_h,product,entity,mean,p10,p50,p90,mw_mean
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31 00:00,2026-01-30 23:00,0,intraday,farm,0.2284,0.0,0.1157,0.5743,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T19:00:00Z,2026-01-31 01:00,2026-01-31 00:00,1,intraday,farm,0.3042,0.0,0.2071,0.6195,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T20:00:00Z,2026-01-31 02:00,2026-01-31 01:00,2,intraday,farm,0.3461,0.0351,0.3134,0.7237,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T21:00:00Z,2026-01-31 03:00,2026-01-31 02:00,3,intraday,farm,0.4079,0.0957,0.4776,0.7683,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T22:00:00Z,2026-01-31 04:00,2026-01-31 03:00,4,intraday,farm,0.3853,0.1251,0.4962,0.8547,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-30T23:00:00Z,2026-01-31 05:00,2026-01-31 04:00,5,intraday,farm,0.4885,0.2707,0.5192,0.8956,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T00:00:00Z,2026-01-31 06:00,2026-01-31 05:00,6,intraday,farm,0.6062,0.3472,0.6696,0.9431,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T01:00:00Z,2026-01-31 07:00,2026-01-31 06:00,7,intraday,farm,0.6787,0.4481,0.8121,0.9483,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T02:00:00Z,2026-01-31 08:00,2026-01-31 07:00,8,intraday,farm,0.6705,0.4464,0.8371,0.9432,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T03:00:00Z,2026-01-31 09:00,2026-01-31 08:00,9,intraday,farm,0.7413,0.382,0.7585,0.9804,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T04:00:00Z,2026-01-31 10:00,2026-01-31 09:00,10,intraday,farm,0.8503,0.5408,0.9238,0.9759,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T05:00:00Z,2026-01-31 11:00,2026-01-31 10:00,11,intraday,farm,0.8851,0.7439,0.9326,0.9811,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T06:00:00Z,2026-01-31 12:00,2026-01-31 11:00,12,intraday,farm,0.9025,0.8191,0.9531,0.9797,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T07:00:00Z,2026-01-31 13:00,2026-01-31 12:00,13,intraday,farm,0.9045,0.7679,0.9545,0.9803,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T08:00:00Z,2026-01-31 14:00,2026-01-31 13:00,14,intraday,farm,0.9259,0.6972,0.9566,0.9761,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T09:00:00Z,2026-01-31 15:00,2026-01-31 14:00,15,intraday,farm,0.9324,0.6164,0.9616,0.9732,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T10:00:00Z,2026-01-31 16:00,2026-01-31 15:00,16,intraday,farm,0.8003,0.3153,0.7657,0.9878,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T11:00:00Z,2026-01-31 17:00,2026-01-31 16:00,17,intraday,farm,0.6538,0.2085,0.6177,0.9563,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T12:00:00Z,2026-01-31 18:00,2026-01-31 17:00,18,intraday,farm,0.4767,0.0649,0.427,0.9074,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T13:00:00Z,2026-01-31 19:00,2026-01-31 18:00,19,intraday,farm,0.2561,0.0029,0.1742,0.659,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T14:00:00Z,2026-01-31 20:00,2026-01-31 19:00,20,intraday,farm,0.1552,0.0038,0.0914,0.2807,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T15:00:00Z,2026-01-31 21:00,2026-01-31 20:00,21,intraday,farm,0.1092,0.0075,0.037,0.2701,
shelek,2026-01-31_0000,1,2026-01-30T18:00:00Z,2026-01-30T18:00:00Z,2026-01-31T16:00:00Z,2026-01-31 22:00,2026-01-31 21:00,22,intraday,farm,0.0808,0.0077,0.0374,0.4835,
